,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
0,Milk,"Milk, human",11000000,0,7,0,6.89,14,16.0,0.0,0,0,0.177,1.03,60,0.036,1.8,6.89,0.014,87.5,1.658,0.497,2.009,4.38,32,0.052,0.03,3,14,51,17,0.17,61,0.05,0.011,5.0,0.08,0.3
16,Buttermilk,"Buttermilk, fat free (skim)",11115000,0,1,0,4.79,4,17.7,0.0,0,0,0.058,3.31,13,0.154,2.0,4.79,0.034,90.13,0.254,0.033,0.66,1.07,116,0.011,0.05,11,89,151,148,0.42,14,0.22,0.034,1.0,0.05,0.1
20,Kefir,"Kefir, NS as to fat content",11115400,0,2,0,7.48,5,15.2,0.0,0,0,0.128,3.59,174,0.172,3.6,6.91,0.03,87.26,0.286,0.047,0.596,0.96,124,0.009,0.04,12,100,159,38,0.45,174,0.3,0.059,0.8,0.04,0.6
21,Goat's milk,"Goat's milk, whole",11116000,0,7,0,4.45,11,16.0,0.0,0,0,0.277,3.56,56,0.138,1.4,4.45,0.048,87.03,1.109,0.149,2.667,4.14,134,0.046,0.05,14,111,204,50,0.3,57,0.07,0.046,1.3,0.07,0.3
31,Non-dairy milk,"Non-dairy milk, NFS",11300100,0,1,0,3.75,0,9.0,0.2,0,0,0.171,1.04,77,0.062,0.8,3.03,0.009,93.33,0.485,0.408,0.237,1.17,164,0.062,0.32,8,19,80,60,0.12,77,0.29,0.009,0.0,1.8,0.9
32,Soy milk,Soy milk,11320000,0,2,0,4.92,0,23.6,0.2,0,0,0.425,2.6,55,0.184,2.3,3.65,0.029,90.36,0.382,0.858,0.205,1.47,123,0.165,0.42,15,43,122,47,0.26,55,0.85,0.031,0.0,0.11,3.0
38,Almond milk,"Almond milk, sweetened",11350000,0,0,0,5.24,0,3.0,0.2,0,0,0.067,0.38,86,0.01,0.1,4.77,0.0,92.68,0.566,0.23,0.077,0.93,177,0.019,0.27,6,9,64,69,0.06,86,0.0,0.0,0.0,2.7,0.0
42,Rice milk,Rice milk,11360000,0,0,0,9.17,0,2.1,0.3,0,0,0.39,0.28,63,0.142,2.2,5.28,0.027,89.28,0.625,0.313,0.0,0.97,118,0.037,0.2,11,56,27,39,0.13,63,0.63,0.039,0.0,0.47,0.2
43,Coconut milk,Coconut milk,11370000,0,0,0,2.92,0,0.0,0.0,0,0,0.0,0.21,63,0.0,0.0,2.5,0.0,94.57,0.0,0.0,2.083,2.08,188,0.0,0.3,0,0,19,19,0.0,63,0.63,0.0,0.0,0.0,0.0
44,Yogurt,"Yogurt, NFS",11400000,0,2,0,7.04,6,15.2,0.0,0,0,0.114,5.25,14,0.214,3.3,7.04,0.044,85.06,0.426,0.044,1.0,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
73,Chipotle dip,"Chipotle dip, yogurt based",11440010,1,16,2,3.33,16,18.6,0.0,17,0,0.177,7.93,73,0.186,10.1,2.97,0.037,70.61,3.638,8.716,3.219,15.99,92,0.022,0.09,9,111,119,636,0.5,74,0.43,0.054,3.4,0.68,32.0
74,Dill dip,"Dill dip, yogurt based",11440020,0,17,1,3.76,16,19.4,0.3,27,0,0.25,8.16,73,0.207,10.2,2.99,0.038,69.81,3.645,8.742,3.232,16.03,103,0.028,0.29,13,115,141,641,0.55,74,0.43,0.054,1.9,0.75,44.9
75,Onion dip,"Onion dip, yogurt based",11440030,0,5,1,4.07,14,17.7,0.2,3,0,0.147,6.82,66,0.168,8.2,3.38,0.041,74.42,2.928,6.865,2.713,12.88,93,0.019,0.08,10,105,126,507,0.47,66,0.42,0.054,1.1,0.53,25.0
76,Ranch dip,"Ranch dip, yogurt based",11440040,0,17,1,4.13,17,20.5,0.3,27,0,0.257,8.48,73,0.222,10.4,3.41,0.042,69.0,3.661,8.744,3.267,16.09,114,0.029,0.29,14,123,154,646,0.58,74,0.46,0.056,1.9,0.75,44.9
77,Spinach dip,"Spinach dip, yogurt based",11440050,0,556,1,3.6,14,19.1,0.3,1197,0,0.17,7.02,66,0.179,8.6,3.04,0.043,74.55,2.927,6.892,2.721,12.94,103,0.028,0.21,15,106,136,514,0.49,112,0.42,0.054,0.7,0.8,66.2
78,Tzatziki dip,Tzatziki dip,11440060,4,21,10,3.95,7,11.0,0.2,9,0,0.16,5.35,1,0.169,5.7,2.92,0.025,83.08,3.724,0.641,1.838,6.31,64,0.027,0.14,11,86,139,307,0.38,3,0.42,0.06,2.0,0.52,8.2
79,Vegetable dip,"Vegetable dip, yogurt based",11440070,0,17,1,3.76,16,19.4,0.3,27,0,0.25,8.16,73,0.207,10.2,2.99,0.038,69.81,3.645,8.742,3.232,16.03,103,0.028,0.29,13,115,141,641,0.55,74,0.43,0.054,1.9,0.75,44.9
80,Yogurt parfait,"Yogurt parfait, low fat, with fruit",11446000,0,12,0,15.86,3,11.9,1.1,12,0,0.714,3.36,29,0.173,3.9,11.68,0.07,78.97,0.307,0.122,0.525,1.01,105,0.054,0.49,17,93,189,49,0.89,30,0.88,0.233,14.3,0.25,1.7
81,Frozen yogurt,"Frozen yogurt, NFS",11459990,0,9,0,21.6,13,23.1,0.0,0,0,0.07,3.0,48,0.18,1.9,19.92,0.04,71.2,0.986,0.1,2.326,3.6,100,0.009,0.46,10,89,156,63,0.28,49,0.07,0.04,0.7,0.09,0.3
86,Frozen yogurt sandwich,Frozen yogurt sandwich,11461200,0,7,0,34.38,10,20.9,0.8,3,0,0.767,3.9,37,0.202,2.8,24.3,0.081,54.52,1.956,1.113,2.805,6.25,83,0.123,1.35,21,100,170,192,0.48,38,0.08,0.043,0.5,0.25,0.8
87,Frozen yogurt bar,"Frozen yogurt bar, vanilla",11461210,0,9,0,21.6,13,23.1,0.0,0,0,0.07,3.0,48,0.18,1.9,19.92,0.04,71.2,0.986,0.1,2.326,3.6,100,0.009,0.46,10,89,156,63,0.28,49,0.07,0.04,0.7,0.09,0.3
89,Frozen yogurt cone,"Frozen yogurt cone, chocolate",11461250,0,9,0,23.9,12,13.9,2.3,1,0,0.311,3.2,36,0.187,2.0,18.71,0.048,68.56,0.996,0.228,2.23,3.73,97,0.06,0.59,25,89,229,71,0.3,37,0.07,0.04,0.0,0.12,0.4
97,Chocolate milk,"Chocolate milk, NFS",11511000,0,11,0,13.46,2,15.6,0.0,0,0,0.164,3.39,63,0.166,1.9,8.39,0.045,82.34,0.0,0.0,0.0,0.0,127,0.075,0.27,13,101,182,79,0.41,64,0.32,0.024,1.0,0.04,0.2
106,Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink",11512010,0,2,0,16.54,7,14.2,0.0,1,0,0.123,2.72,68,0.117,1.7,15.18,0.047,78.43,0.325,0.047,0.903,1.54,102,0.058,0.0,17,95,152,60,0.45,68,0.42,0.049,0.2,0.03,0.2
166,Strawberry milk,"Strawberry milk, NFS",11519040,0,3,0,5.35,8,18.0,0.0,0,0,0.11,3.33,81,0.139,1.8,5.29,0.058,88.68,0.404,0.059,1.111,1.9,128,0.001,0.0,12,102,157,40,0.43,81,0.55,0.059,0.2,0.03,0.2
174,Eggnog,Eggnog,11531000,0,7,0,8.05,59,52.2,0.0,54,0,0.105,4.55,58,0.19,4.2,8.05,0.034,82.54,1.302,0.198,2.591,4.19,130,0.013,0.2,19,109,165,54,0.46,59,0.45,0.05,1.5,0.21,0.3
175,Milk shake,"Milk shake, home recipe, chocolate",11541110,0,12,0,13.55,20,19.6,0.5,0,0,0.151,3.48,63,0.159,2.1,12.57,0.051,75.87,1.64,0.222,3.725,6.14,118,0.052,0.35,18,103,187,52,0.47,64,0.45,0.059,0.3,0.14,0.3
179,Milk shake with malt,Milk shake with malt,11541400,0,11,0,13.66,23,22.1,0.2,0,0,0.302,3.77,61,0.202,2.4,12.04,0.068,75.57,1.525,0.276,3.659,6.11,131,0.016,0.06,16,112,190,66,0.53,63,0.5,0.07,0.3,0.15,0.5
184,Licuado or Batido,Licuado or Batido,11551050,4,8,0,13.1,5,13.9,0.7,8,0,0.242,2.4,37,0.104,1.5,10.86,0.045,82.44,0.281,0.076,0.758,1.38,83,0.022,0.11,14,72,184,25,0.32,38,0.35,0.109,9.9,0.08,0.5
185,Fruit smoothie,"Fruit smoothie, NFS",11553100,3,14,0,11.65,4,11.8,1.2,19,0,0.311,2.4,19,0.11,1.6,8.23,0.039,84.22,0.236,0.094,0.57,1.07,81,0.03,0.22,14,68,180,28,0.37,20,0.28,0.092,9.0,0.16,3.3
188,Fruit smoothie juice drink,"Fruit smoothie juice drink, with dairy",11553130,5,7,0,15.05,1,4.0,0.9,17,0,0.217,0.86,1,0.028,0.3,12.68,0.023,83.61,0.049,0.052,0.0,0.14,20,0.038,0.14,11,11,131,14,0.09,2,0.0,0.108,5.2,0.03,0.3
189,Chocolate milk drink,Chocolate milk drink,11560000,0,0,0,10.68,0,3.3,0.6,1,0,0.106,0.64,60,0.051,0.7,8.68,0.01,87.63,0.049,0.009,0.31,0.4,100,0.074,0.33,11,24,79,91,0.16,60,0.06,0.011,2.0,0.01,0.1
190,Infant formula,"Infant formula, NFS",11710000,0,0,0,7.12,1,15.4,0.0,0,0,0.67,1.38,59,0.096,1.7,7.12,0.06,87.46,1.305,0.739,1.342,3.56,54,0.063,1.19,6,28,70,20,0.59,59,0.18,0.04,7.0,0.78,5.6
367,Whey,"Whey, sweet, dry",11825000,0,2,0,74.46,6,225.0,0.0,0,0,1.258,12.93,8,2.208,27.2,74.46,0.519,3.19,0.297,0.034,0.684,1.07,796,0.07,0.88,176,932,2080,1079,1.97,8,2.37,0.584,1.5,0.02,0.1
368,Cocoa powder,"Cocoa powder, not reconstituted",11830150,0,0,0,57.9,0,12.0,37.0,38,0,2.185,19.6,0,0.241,14.3,1.75,0.078,3.0,4.57,0.44,8.07,13.7,128,3.788,13.86,499,734,1524,21,6.81,0,0.0,0.118,0.0,0.1,2.5
369,Chocolate beverage powder,"Chocolate beverage powder, dry mix, not reconstituted",11830160,0,0,0,90.28,0,3.3,4.5,0,0,0.199,4.55,0,0.056,1.9,81.82,0.009,1.1,0.0,0.0,2.273,2.27,455,0.909,0.0,53,86,280,136,6.82,0,0.0,0.909,27.3,0.04,0.9
372,Strawberry beverage powder,"Strawberry beverage powder, dry mix, not reconstituted",11830400,0,0,0,99.1,0,0.1,0.0,0,0,0.073,0.1,0,0.11,0.5,95.45,0.003,0.4,0.0,0.0,0.0,0.2,4,0.0,0.44,1,5,6,38,0.0,0,0.0,0.002,0.3,0.0,0.0
